,City,State,Population,Latitude,Longitude,APICode,AdministrativeArea.CountryID,AdministrativeArea.EnglishName,AdministrativeArea.EnglishType,AdministrativeArea.ID,AdministrativeArea.Level,AdministrativeArea.LocalizedName,AdministrativeArea.LocalizedType,Country.EnglishName,Country.ID,Country.LocalizedName,DataSets,EnglishName,GeoPosition.Elevation.Imperial.Unit,GeoPosition.Elevation.Imperial.UnitType,GeoPosition.Elevation.Imperial.Value,GeoPosition.Elevation.Metric.Unit,GeoPosition.Elevation.Metric.UnitType,GeoPosition.Elevation.Metric.Value,GeoPosition.Latitude,GeoPosition.Longitude,IsAlias,Key,LocalizedName,PrimaryPostalCode,Rank,Region.EnglishName,Region.ID,Region.LocalizedName,SupplementalAdminAreas,TimeZone.Code,TimeZone.GmtOffset,TimeZone.IsDaylightSaving,TimeZone.Name,TimeZone.NextOffsetChange,Type,Version
98,Baton Rouge,Louisiana,221599,30.4422,-91.1309,30.4422%2C-91.1309,US,Louisiana,State,LA,1,Louisiana,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Baton Rouge,ft,0,52,m,5,16,30.451,-91.155,FALSE,329147,Baton Rouge,70806,41,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'East Baton Rouge', 'EnglishName': 'East Baton Rouge'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
99,Spokane,Washington,219190,47.6669,-117.433,47.6669%2C-117.433,US,Washington,State,WA,1,Washington,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Spokane,ft,0,1895,m,5,578,47.659,-117.426,FALSE,331422,Spokane,99201,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Spokane', 'EnglishName': 'Spokane'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
100,Des Moines,Iowa,216853,41.5726,-93.6102,41.5726%2C-93.6102,US,Iowa,State,IA,1,Iowa,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Des Moines,ft,0,810,m,5,247,41.601,-93.609,FALSE,328810,Des Moines,50316,41,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Polk', 'EnglishName': 'Polk'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
101,Tacoma,Washington,216279,47.2522,-122.459,47.2522%2C-122.459,US,Washington,State,WA,1,Washington,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Tacoma,ft,0,285,m,5,87,47.253,-122.444,FALSE,331423,Tacoma,98402,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Pierce', 'EnglishName': 'Pierce'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
102,San Bernardino,California,215941,34.1416,-117.293,34.1416%2C-117.293,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",San Bernardino,ft,0,1056,m,5,322,34.108,-117.29,FALSE,327147,San Bernardino,92401,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'San Bernardino', 'EnglishName': 'San Bernardino'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
103,Modesto,California,215030,37.6375,-121.003,37.6375%2C-121.003,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Modesto,ft,0,98,m,5,30,37.639,-120.997,FALSE,327145,Modesto,95354,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Stanislaus', 'EnglishName': 'Stanislaus'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
104,Fontana,California,213739,34.109,-117.462,34.109%2C-117.462,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Fontana,ft,0,1321,m,5,403,34.092,-117.435,FALSE,332124,Fontana,92335,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'San Bernardino', 'EnglishName': 'San Bernardino'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
105,Santa Clarita,California,210089,34.403,-118.504,34.403%2C-118.504,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Santa Clarita,ft,0,1213,m,5,370,34.392,-118.543,FALSE,337240,Santa Clarita,91355,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Los Angeles', 'EnglishName': 'Los Angeles'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
106,Birmingham,Alabama,209880,33.5274,-86.799,33.5274%2C-86.799,US,Alabama,State,AL,1,Alabama,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Birmingham,ft,0,610,m,5,186,33.521,-86.802,FALSE,346630,Birmingham,35203,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Jefferson', 'EnglishName': 'Jefferson'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
107,Oxnard,California,209877,34.2023,-119.204,34.2023%2C-119.204,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Oxnard,ft,0,49,m,5,15,34.198,-119.177,FALSE,337188,Oxnard,93030,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Ventura', 'EnglishName': 'Ventura'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
108,Fayetteville,North Carolina,209468,35.0828,-78.9735,35.0828%2C-78.9735,US,North Carolina,State,NC,1,North Carolina,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Fayetteville,ft,0,121,m,5,37,35.053,-78.878,FALSE,329815,Fayetteville,28301,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Cumberland', 'EnglishName': 'Cumberland'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
109,Moreno Valley,California,209050,33.9233,-117.205,33.9233%2C-117.205,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Moreno Valley,ft,0,1662,m,5,507,33.938,-117.231,FALSE,337165,Moreno Valley,92553,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Riverside', 'EnglishName': 'Riverside'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
110,Rochester,New York,206284,43.1699,-77.6169,43.1699%2C-77.6169,US,New York,State,NY,1,New York,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Rochester,ft,0,518,m,5,158,43.155,-77.616,FALSE,329674,Rochester,14614,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Monroe', 'EnglishName': 'Monroe'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
111,Glendale,California,201361,34.1814,-118.245,34.1814%2C-118.245,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Glendale,ft,0,537,m,5,164,34.143,-118.255,FALSE,332135,Glendale,91204,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Los Angeles', 'EnglishName': 'Los Angeles'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
112,Huntington Beach,California,200641,33.6906,-118.009,33.6906%2C-118.009,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Huntington Beach,ft,0,36,m,5,11,33.66,-117.999,FALSE,327160,Huntington Beach,92648,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Orange', 'EnglishName': 'Orange'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
113,Salt Lake City,Utah,200591,40.7769,-111.931,40.7769%2C-111.931,US,Utah,State,UT,1,Utah,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Salt Lake City,ft,0,4270,m,5,1301,40.761,-111.891,FALSE,331216,Salt Lake City,84111,41,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Salt Lake', 'EnglishName': 'Salt Lake'}]",MST,-7,FALSE,America/Denver,2020-03-08T09:00:00Z,City,1
114,Grand Rapids,Michigan,200217,42.9612,-85.6556,42.9612%2C-85.6556,US,Michigan,State,MI,1,Michigan,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Grand Rapids,ft,0,587,m,5,179,42.963,-85.668,FALSE,329374,Grand Rapids,49503,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Kent', 'EnglishName': 'Kent'}]",EST,-5,FALSE,America/Detroit,2020-03-08T07:00:00Z,City,1
115,Amarillo,Texas,199924,35.1999,-101.83,35.1999%2C-101.83,US,Texas,State,TX,1,Texas,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Amarillo,ft,0,3667,m,5,1118,35.222,-101.831,FALSE,331128,Amarillo,79107,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Potter', 'EnglishName': 'Potter'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
116,Yonkers,New York,199663,40.9459,-73.8674,40.9459%2C-73.8674,US,New York,State,NY,1,New York,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Yonkers,ft,0,49,m,5,15,40.931,-73.899,FALSE,334624,Yonkers,10701,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Westchester', 'EnglishName': 'Westchester'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
117,Aurora,Illinois,199602,41.7635,-88.2901,41.7635%2C-88.2901,US,Illinois,State,IL,1,Illinois,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Aurora,ft,0,688,m,5,210,41.761,-88.32,FALSE,328770,Aurora,60506,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Kane', 'EnglishName': 'Kane'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
118,Montgomery,Alabama,198218,32.3472,-86.2661,32.3472%2C-86.2661,US,Alabama,State,AL,1,Alabama,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Montgomery,ft,0,209,m,5,64,32.367,-86.3,FALSE,326706,Montgomery,36104,41,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Montgomery', 'EnglishName': 'Montgomery'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
119,Akron,Ohio,198006,41.0805,-81.5214,41.0805%2C-81.5214,US,Ohio,State,OH,1,Ohio,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Akron,ft,0,993,m,5,303,41.081,-81.519,FALSE,330119,Akron,44308,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Summit', 'EnglishName': 'Summit'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
120,Little Rock,Arkansas,197881,34.7254,-92.3586,34.7254%2C-92.3586,US,Arkansas,State,AR,1,Arkansas,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Little Rock,ft,0,272,m,5,83,34.746,-92.29,FALSE,326862,Little Rock,72201,41,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Pulaski', 'EnglishName': 'Pulaski'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
121,Huntsville,Alabama,197318,34.699,-86.673,34.699%2C-86.673,US,Alabama,State,AL,1,Alabama,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Huntsville,ft,0,619,m,5,189,34.73,-86.586,FALSE,326704,Huntsville,35801,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Madison', 'EnglishName': 'Madison'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
122,Augusta,Georgia,196939,33.3655,-82.0734,33.3655%2C-82.0734,US,Georgia,State,GA,1,Georgia,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Augusta,ft,0,144,m,5,44,33.471,-81.975,FALSE,328218,Augusta,30901,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Richmond', 'EnglishName': 'Richmond'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
123,Port St. Lucie,Florida,195248,27.2806,-80.3883,27.2806%2C-80.3883,US,Florida,State,FL,1,Florida,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Port St. Lucie,ft,0,22,m,5,7,27.294,-80.35,FALSE,347875,Port St. Lucie,34983,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'St. Lucie', 'EnglishName': 'St. Lucie'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
124,Grand Prairie,Texas,194614,32.6869,-97.0211,32.6869%2C-97.0211,US,Texas,State,TX,1,Texas,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Grand Prairie,ft,0,498,m,5,152,32.746,-96.998,FALSE,336102,Grand Prairie,75050,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Dallas', 'EnglishName': 'Dallas'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
125,Columbus,Georgia,194160,32.5102,-84.8749,32.5102%2C-84.8749,US,Georgia,State,GA,1,Georgia,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Columbus,ft,0,282,m,5,86,32.461,-84.988,FALSE,328222,Columbus,31901,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Muscogee', 'EnglishName': 'Muscogee'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
126,Tallahassee,Florida,193551,30.4551,-84.2534,30.4551%2C-84.2534,US,Florida,State,FL,1,Florida,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Tallahassee,ft,0,196,m,5,60,30.438,-84.281,FALSE,328170,Tallahassee,32301,41,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Leon', 'EnglishName': 'Leon'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
127,Overland Park,Kansas,192536,38.889,-94.6906,38.889%2C-94.6906,US,Kansas,State,KS,1,Kansas,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Overland Park,ft,0,1062,m,5,324,38.982,-94.671,FALSE,338317,Overland Park,66204,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Johnson', 'EnglishName': 'Johnson'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
128,Tempe,Arizona,192364,33.3884,-111.931,33.3884%2C-111.931,US,Arizona,State,AZ,1,Arizona,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Tempe,ft,0,1200,m,5,366,33.415,-111.909,FALSE,336877,Tempe,85281,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Maricopa', 'EnglishName': 'Maricopa'}]",MST,-7,FALSE,America/Phoenix,,City,1
129,McKinney,Texas,191645,33.1985,-96.668,33.1985%2C-96.668,US,Texas,State,TX,1,Texas,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",McKinney,ft,0,629,m,5,192,33.198,-96.615,FALSE,335923,McKinney,75069,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Collin', 'EnglishName': 'Collin'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
130,Mobile,Alabama,189572,30.6684,-88.1002,30.6684%2C-88.1002,US,Alabama,State,AL,1,Alabama,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Mobile,ft,0,13,m,5,4,30.694,-88.043,FALSE,326705,Mobile,36602,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Mobile', 'EnglishName': 'Mobile'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
131,Cape Coral,Florida,189343,26.6432,-81.9974,26.6432%2C-81.9974,US,Florida,State,FL,1,Florida,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Cape Coral,ft,0,6,m,5,2,26.563,-81.95,FALSE,332355,Cape Coral,33904,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Lee', 'EnglishName': 'Lee'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
132,Shreveport,Louisiana,188987,32.4669,-93.7922,32.4669%2C-93.7922,US,Louisiana,State,LA,1,Louisiana,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Shreveport,ft,0,173,m,5,53,32.525,-93.75,FALSE,329148,Shreveport,71101,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Caddo', 'EnglishName': 'Caddo'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
133,Frisco,Texas,188170,33.1554,-96.8226,33.1554%2C-96.8226,US,Texas,State,TX,1,Texas,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Frisco,ft,0,665,m,5,203,33.151,-96.824,FALSE,346100,Frisco,75033,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Collin', 'EnglishName': 'Collin'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
134,Knoxville,Tennessee,187500,35.9707,-83.9493,35.9707%2C-83.9493,US,Tennessee,State,TN,1,Tennessee,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Knoxville,ft,0,918,m,5,280,35.961,-83.921,FALSE,331087,Knoxville,37902,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Knox', 'EnglishName': 'Knox'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
135,Worcester,Massachusetts,185877,42.2695,-71.8078,42.2695%2C-71.8078,US,Massachusetts,State,MA,1,Massachusetts,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Worcester,ft,0,537,m,5,164,42.263,-71.802,FALSE,329325,Worcester,1608,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Worcester', 'EnglishName': 'Worcester'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
136,Brownsville,Texas,183392,25.9991,-97.455,25.9991%2C-97.455,US,Texas,State,TX,1,Texas,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Brownsville,ft,0,26,m,5,8,25.902,-97.497,FALSE,331109,Brownsville,78520,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Cameron', 'EnglishName': 'Cameron'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
137,Vancouver,Washington,183012,45.6349,-122.595,45.6349%2C-122.595,US,Washington,State,WA,1,Washington,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Vancouver,ft,0,203,m,5,62,45.639,-122.661,FALSE,331419,Vancouver,98663,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Clark', 'EnglishName': 'Clark'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
138,Fort Lauderdale,Florida,182595,26.1412,-80.1467,26.1412%2C-80.1467,US,Florida,State,FL,1,Florida,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Fort Lauderdale,ft,0,9,m,5,3,26.122,-80.143,FALSE,328168,Fort Lauderdale,33301,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Broward', 'EnglishName': 'Broward'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
139,Sioux Falls,South Dakota,181883,43.5383,-96.732,43.5383%2C-96.732,US,South Dakota,State,SD,1,South Dakota,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Sioux Falls,ft,0,1456,m,5,444,43.55,-96.7,FALSE,330686,Sioux Falls,57103,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Minnehaha', 'EnglishName': 'Minnehaha'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
140,Ontario,California,181107,34.0394,-117.604,34.0394%2C-117.604,US,California,State,CA,1,California,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Ontario,ft,0,1049,m,5,320,34.063,-117.651,FALSE,337183,Ontario,91762,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'San Bernardino', 'EnglishName': 'San Bernardino'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
141,Chattanooga,Tennessee,180557,35.066,-85.2484,35.066%2C-85.2484,US,Tennessee,State,TN,1,Tennessee,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Chattanooga,ft,0,780,m,5,238,35.046,-85.31,FALSE,331086,Chattanooga,37402,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Hamilton', 'EnglishName': 'Hamilton'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
142,Providence,Rhode Island,179335,41.8231,-71.4188,41.8231%2C-71.4188,US,Rhode Island,State,RI,1,Rhode Island,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Providence,ft,0,19,m,5,6,41.824,-71.413,FALSE,330414,Providence,2903,41,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Providence', 'EnglishName': 'Providence'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
143,Newport News,Virginia,178626,37.0762,-76.522,37.0762%2C-76.522,US,Virginia,State,VA,1,Virginia,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Newport News,ft,0,19,m,5,6,37.086,-76.473,FALSE,336210,Newport News,23606,45,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Newport News', 'EnglishName': 'Newport News'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
