,City,State,Population,Latitude,Longitude,APICode,AdministrativeArea.CountryID,AdministrativeArea.EnglishName,AdministrativeArea.EnglishType,AdministrativeArea.ID,AdministrativeArea.Level,AdministrativeArea.LocalizedName,AdministrativeArea.LocalizedType,Country.EnglishName,Country.ID,Country.LocalizedName,DataSets,EnglishName,GeoPosition.Elevation.Imperial.Unit,GeoPosition.Elevation.Imperial.UnitType,GeoPosition.Elevation.Imperial.Value,GeoPosition.Elevation.Metric.Unit,GeoPosition.Elevation.Metric.UnitType,GeoPosition.Elevation.Metric.Value,GeoPosition.Latitude,GeoPosition.Longitude,IsAlias,Key,LocalizedName,PrimaryPostalCode,Rank,Region.EnglishName,Region.ID,Region.LocalizedName,SupplementalAdminAreas,TimeZone.Code,TimeZone.GmtOffset,TimeZone.IsDaylightSaving,TimeZone.Name,TimeZone.NextOffsetChange,Type,Version
17,Seattle,Washington,744955,47.6205,-122.35,47.6205%2C-122.35,US,Washington,State,WA,1,Washington,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Lower Queen Anne,ft,0,154,m,5,47,47.623,-122.356,FALSE,2628272,Lower Queen Anne,98109,65,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'King', 'EnglishName': 'King'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
18,Denver,Colorado,716492,39.7619,-104.881,39.7619%2C-104.881,US,Colorado,State,CO,1,Colorado,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Stapleton,ft,0,5280,m,5,1609,39.773,-104.885,FALSE,2626679,Stapleton,80238,85,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Denver', 'EnglishName': 'Denver'}]",MST,-7,FALSE,America/Denver,2020-03-08T09:00:00Z,City,1
19,Washington,District of Columbia,702455,38.9041,-77.0172,38.9041%2C-77.0172,US,District of Columbia,District,DC,1,District of Columbia,District,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Mt. Vernon Triangle,ft,0,114,m,5,35,38.902,-77.017,FALSE,2628362,Mt. Vernon Triangle,20001,85,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'District of Columbia', 'EnglishName': 'District of Columbia'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
20,Boston,Massachusetts,694583,42.332,-71.0202,42.332%2C-71.0202,US,Massachusetts,State,MA,1,Massachusetts,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",South Boston,ft,0,29,m,5,9,42.333,-71.049,FALSE,2251527,South Boston,2127,55,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Suffolk', 'EnglishName': 'Suffolk'}]",EST,-5,FALSE,America/New_York,2020-03-08T07:00:00Z,City,1
21,El Paso,Texas,682669,31.8484,-106.427,31.8484%2C-106.427,US,Texas,State,TX,1,Texas,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",El Paso,ft,0,3765,m,5,1148,31.759,-106.487,FALSE,351195,El Paso,79901,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'El Paso', 'EnglishName': 'El Paso'}]",MST,-7,FALSE,America/Denver,2020-03-08T09:00:00Z,City,1
22,Detroit,Michigan,672662,42.383,-83.1022,42.383%2C-83.1022,US,Michigan,State,MI,1,Michigan,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Detroit,ft,0,596,m,5,182,42.331,-83.046,FALSE,348755,Detroit,48226,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Wayne', 'EnglishName': 'Wayne'}]",EST,-5,FALSE,America/Detroit,2020-03-08T07:00:00Z,City,1
23,Nashville,Tennessee,669053,36.1718,-86.785,36.1718%2C-86.785,US,Tennessee,State,TN,1,Tennessee,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Nashville,ft,0,416,m,5,127,36.166,-86.784,FALSE,351090,Nashville,37243,31,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Davidson', 'EnglishName': 'Davidson'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
24,Portland,Oregon,653115,45.537,-122.65,45.537%2C-122.65,US,Oregon,State,OR,1,Oregon,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Irvington,ft,0,265,m,5,81,45.54,-122.652,FALSE,2187442,Irvington,97212,75,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Multnomah', 'EnglishName': 'Multnomah'}]",PST,-8,FALSE,America/Los_Angeles,2020-03-08T10:00:00Z,City,1
25,Memphis,Tennessee,650618,35.1028,-89.9774,35.1028%2C-89.9774,US,Tennessee,State,TN,1,Tennessee,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Memphis,ft,0,265,m,5,81,35.15,-90.049,FALSE,351089,Memphis,38103,35,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Shelby', 'EnglishName': 'Shelby'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
26,Oklahoma City,Oklahoma,649021,35.4671,-97.5137,35.4671%2C-97.5137,US,Oklahoma,State,OK,1,Oklahoma,State,United States,US,United States,"['AirQualityCurrentConditions', 'AirQualityForecasts', 'Alerts', 'DailyAirQualityForecast', 'DailyPollenForecast', 'ForecastConfidence', 'MinuteCast', 'Radar']",Oklahoma City,ft,0,1216,m,5,371,35.468,-97.516,FALSE,350143,Oklahoma City,73102,31,North America,NAM,North America,"[{'Level': 2, 'LocalizedName': 'Oklahoma', 'EnglishName': 'Oklahoma'}]",CST,-6,FALSE,America/Chicago,2020-03-08T08:00:00Z,City,1
